,,,,subtopic extraction,,poc,,
,science&tech,Are repair costs always classified as one-time non-recurring expenses?,Repair costs may fall into either category depending on the frequency with which they occur - if they happen more than once but not annually then they should be classified as a one time non-recurring expense for purposes of calculating LCC137,decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,Do inflation rates need ot be taken into account when estimating UPV factors?,"No , UPV factor calculations should take note specifically rates pertaining solelyto relevant expenses rather than general inflation rates across all economic sectors138",decarbonization,costing',decarbonization,Cost Analysis',
,analysis,How can we account for projected changes in energy cost over time when estimating long term construction projects?,It is important to consider any potential data related trends that could affect calculated energy cost through use variables like rate escalations or projected shifts from nonrenewable sources such as fossil fuels towards renewable sources like solar 139,decarbonization,"renewables' 'costing' 'emissions' 'roofs' 'ecology' 'sustainable'
 'carbon' 'gdp'",decarbonization,"Clean Energy' 'Cost Analysis' 'Environmental Sustainability'
 'Green Architecture' 'Eco-diversity' 'Sustainable Cities'
 'Climate Policy' 'Macroeconomic Indicators'",
,science&tech,Does PVRepl represent positive or negative cost?,PVRepl would generally represent a positive component whereas PVRes represents negative component relativeo total expenditure required during particular project intervals 140,decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,How does varying grid charges per unit affect energy demand estimates for buildings?,"Varying grid charges per unit affects energy demand estimates for buildings by altering their monetary value with total monthly consumption, as well as variation in grid charges with seasons141",decarbonization,renewables' 'costing' 'roofs' 'emissions',decarbonization,"Clean Energy' 'Cost Analysis' 'Green Architecture'
 'Environmental Sustainability'",
,analysis,How should data from one region be treated when estimating life cycle cost or LCC?,"Data from one region should not be indiscriminately used in other parts of the world, because this may render LCC estimation not very reliable, and final decisions must be made taking this into consideration142",decarbonization,costing',decarbonization,Cost Analysis',
,management,How can resources like quotations from vendors help to estimate all future costs if no enough resources exist elsewhere?,Resources like quotations from vendors can help to estimate all future costs if no enough resources exist elsewhere by providing projections based on available data143,decarbonization,,decarbonization,,
,management,What may an LCC analyst consider when conducting a cost analysis?,"An LCC analyst may consider costs associated with ownership, operation, maintenance, and decommissioning of a building145",decarbonization,costing',decarbonization,Cost Analysis',
,management,"When assessing multiple design alternatives in an LCC analysis, should all project-related costs be taken into consideration?","No, only those costs that are significant in quantitative measure and relevant to the decision at hand should be considered146",decarbonization,costing',decarbonization,Cost Analysis',
,management,Does initial cost of structure have to be noted when retrofitting existing buildings?,"No, it is not necessary as initial cost of structure would remain the same for base case and retrofit alternative cases147",decarbonization,costing',decarbonization,Cost Analysis',
,management,"In addition to installing passive elements for energy saving in a retrofit project, what other related costs should also be included in LCC estimation?","No, it is not necessary as initial cost of structure would remain the same for base case and retrofit alternative cases148",decarbonization,costing' 'roofs',decarbonization,Cost Analysis' 'Green Architecture',
,management,Should already incurred OM&R costs sunk costs be taken into account while estimating LCC?,"No , sunk costs which have already been incurred should not need to considered while estimating LCC149",decarbonization,costing',decarbonization,Cost Analysis',
